device_id,device_name,manufacturer,device_age_years,usage_hours_per_week,maintenance_frequency_per_year,last_maintenance_gap_days,error_logs_past_month,environment,criticality_level,spare_parts_availability,failures_past_year,manufacturer_support_rating,failure_within_year
1,Ventilator,GE Healthcare,6,24,4,135,14,ICU,High,Good,0,4,0
2,CT Scanner,Philips,6,121,6,120,3,Lab,Medium,Good,0,2,1
3,Ventilator,Mindray,4,96,4,146,0,Ward,Medium,Good,0,3,0
4,Ventilator,Medtronic,5,114,6,35,7,Diagnostic Center,High,Moderate,0,4,0
5,Patient Monitor,Siemens,4,61,2,253,0,Operating Room,Medium,Good,0,4,0
6,Patient Monitor,GE Healthcare,6,73,2,256,0,ICU,High,Good,0,4,1
7,Infusion Pump,Mindray,4,48,6,75,24,Ward,Medium,Good,0,2,0
8,X-Ray,Fujifilm,4,82,4,155,0,ICU,High,Good,0,3,0
9,ECG,Mindray,9,29,0,395,19,Lab,Low,Good,2,3,1
10,Ventilator,Fujifilm,3,5,2,194,0,Ward,Medium,Good,0,4,0
11,Ventilator,Medtronic,5,40,6,85,6,Ward,Medium,Poor,0,2,1
12,Ultrasound,Fujifilm,5,23,0,404,3,Diagnostic Center,Medium,Moderate,0,2,1
13,ECG,Medtronic,6,96,0,448,11,Diagnostic Center,High,Poor,0,3,1
14,MRI Scanner,Fujifilm,5,105,2,171,0,Diagnostic Center,Low,Poor,0,4,0
15,MRI Scanner,GE Healthcare,10,24,12,46,0,ICU,Medium,Moderate,0,4,0
16,CT Scanner,Mindray,2,92,12,53,8,Lab,Medium,Moderate,0,2,0
17,X-Ray,Siemens,5,83,4,101,0,Diagnostic Center,High,Moderate,0,4,0
18,ECG,GE Healthcare,4,20,4,135,0,Operating Room,High,Moderate,1,4,0
19,Ultrasound,Canon Medical,11,50,2,217,2,ICU,Medium,Poor,0,3,1
20,X-Ray,Siemens,5,45,2,182,0,Diagnostic Center,High,Good,0,5,0
21,Ultrasound,GE Healthcare,4,78,6,131,0,Diagnostic Center,Medium,Good,0,3,0
22,Infusion Pump,Fujifilm,9,29,1,398,1,Lab,Medium,Good,0,3,1
23,MRI Scanner,Medtronic,4,57,4,150,0,Ward,High,Poor,0,4,1
24,Ultrasound,Fujifilm,6,42,4,151,0,ICU,High,Moderate,0,3,0
25,MRI Scanner,Fujifilm,8,71,1,392,15,Operating Room,Low,Poor,0,4,1
26,Ventilator,Philips,3,54,4,115,9,Ward,Low,Moderate,0,2,0
27,ECG,Siemens,4,46,4,106,20,Operating Room,High,Moderate,0,3,0
28,Patient Monitor,Siemens,6,54,6,139,7,ICU,High,Moderate,0,5,0
29,MRI Scanner,Canon Medical,8,110,2,246,14,ICU,Medium,Moderate,0,3,1
30,CT Scanner,Medtronic,10,49,2,175,0,Ward,High,Poor,0,2,1
31,Infusion Pump,Canon Medical,4,33,4,137,0,Ward,Low,Good,0,3,0
32,MRI Scanner,Philips,2,74,12,88,5,Operating Room,Medium,Moderate,0,3,0
33,CT Scanner,GE Healthcare,6,56,2,188,0,Ward,Low,Good,0,5,0
34,Ventilator,Philips,7,24,12,40,5,Operating Room,Low,Moderate,0,3,0
35,ECG,GE Healthcare,9,115,6,54,0,Lab,Medium,Moderate,0,5,0
36,Infusion Pump,Mindray,3,51,6,58,0,ICU,Medium,Poor,1,3,0
37,ECG,GE Healthcare,6,50,1,365,12,Diagnostic Center,Low,Poor,0,5,1
38,MRI Scanner,Philips,9,63,2,258,0,Lab,Medium,Moderate,0,2,1
39,Infusion Pump,GE Healthcare,7,103,1,437,6,Operating Room,High,Good,0,4,1
40,X-Ray,Mindray,12,18,2,153,6,Diagnostic Center,Medium,Poor,0,3,1
41,Ultrasound,Siemens,8,66,12,119,0,Ward,Medium,Good,0,5,0
42,ECG,GE Healthcare,4,112,1,346,5,Ward,Low,Moderate,0,4,1
43,Patient Monitor,Canon Medical,1,63,4,65,2,ICU,Medium,Good,0,2,0
44,ECG,Fujifilm,6,29,0,395,11,Ward,High,Good,0,4,1
45,Infusion Pump,Fujifilm,2,44,6,120,0,Ward,High,Moderate,0,4,0
46,Infusion Pump,Siemens,9,65,1,390,0,Operating Room,Low,Good,1,5,1
47,X-Ray,Mindray,5,93,1,432,0,ICU,Low,Poor,0,3,1
48,ECG,GE Healthcare,7,51,2,229,0,ICU,Medium,Moderate,1,4,1
49,MRI Scanner,GE Healthcare,6,80,6,100,0,Ward,High,Moderate,0,5,0
50,CT Scanner,Canon Medical,2,24,1,371,5,ICU,High,Good,0,2,1
51,Infusion Pump,Siemens,6,23,2,187,3,Lab,Medium,Good,0,4,0
52,Patient Monitor,Mindray,5,47,0,408,5,Operating Room,Low,Moderate,0,1,1
53,Ultrasound,Fujifilm,5,95,12,28,0,Ward,Low,Moderate,0,3,0
54,Infusion Pump,GE Healthcare,5,61,4,140,3,ICU,Low,Moderate,0,4,0
55,Ultrasound,Siemens,8,67,6,67,12,ICU,Medium,Moderate,0,4,0
56,Patient Monitor,Philips,1,66,4,145,4,Operating Room,Low,Moderate,0,2,0
57,Infusion Pump,Canon Medical,3,87,1,436,13,Diagnostic Center,High,Moderate,0,2,1
58,X-Ray,Fujifilm,4,44,4,101,2,Ward,High,Moderate,0,4,0
59,Infusion Pump,Fujifilm,11,77,1,367,0,Diagnostic Center,Low,Moderate,0,2,1
60,Infusion Pump,Medtronic,9,39,2,244,10,Diagnostic Center,High,Poor,0,4,1
61,ECG,Siemens,4,109,4,172,0,ICU,Medium,Moderate,0,4,0
62,ECG,Mindray,8,39,4,141,0,Diagnostic Center,Medium,Good,0,3,0
63,Ventilator,Siemens,7,37,1,347,2,Ward,High,Moderate,0,3,1
64,Ventilator,Fujifilm,5,73,0,340,9,Diagnostic Center,High,Moderate,2,3,1
65,ECG,GE Healthcare,5,61,6,95,12,Ward,High,Good,0,4,0
66,Patient Monitor,Canon Medical,5,68,6,37,8,ICU,Medium,Moderate,0,4,0
67,Ultrasound,GE Healthcare,9,65,1,453,11,Diagnostic Center,High,Moderate,2,5,1
68,Ventilator,Philips,3,32,1,452,11,ICU,Medium,Moderate,0,2,0
69,Ultrasound,Medtronic,3,100,6,93,10,Diagnostic Center,Medium,Poor,0,3,0
70,Ultrasound,Medtronic,9,82,6,125,0,ICU,High,Poor,0,4,0
71,Infusion Pump,Mindray,5,93,12,99,20,Operating Room,High,Good,1,2,1
72,Ventilator,Medtronic,9,46,2,160,11,Ward,Medium,Moderate,0,2,0
73,CT Scanner,Siemens,7,70,4,83,0,Diagnostic Center,High,Moderate,0,4,0
74,ECG,Mindray,7,64,2,222,6,ICU,Medium,Good,1,3,0
75,CT Scanner,Mindray,11,88,4,155,0,Ward,Low,Good,0,1,1
76,Infusion Pump,GE Healthcare,4,89,1,355,2,Operating Room,High,Good,0,3,0
77,Ultrasound,Mindray,8,64,1,335,1,Diagnostic Center,Low,Good,1,2,1
78,Infusion Pump,Fujifilm,12,22,1,380,1,Ward,Medium,Poor,1,4,0
79,Ventilator,Medtronic,6,104,4,122,9,Ward,Medium,Good,0,3,1
80,Ultrasound,Siemens,8,73,4,62,3,Ward,Low,Good,0,4,0
81,MRI Scanner,Medtronic,5,44,4,164,0,Ward,Medium,Good,0,3,0
82,ECG,Philips,8,70,6,104,0,Diagnostic Center,High,Moderate,0,4,0
83,X-Ray,Medtronic,9,22,6,130,0,ICU,High,Good,0,3,0
84,Ventilator,Canon Medical,4,86,4,142,9,Lab,Medium,Good,0,3,0
85,Infusion Pump,Fujifilm,3,23,12,43,0,Ward,High,Good,0,2,0
86,Ventilator,Medtronic,6,54,4,177,8,ICU,Medium,Good,0,2,1
87,Patient Monitor,Siemens,2,66,1,422,29,Ward,Medium,Good,0,3,1
88,CT Scanner,Mindray,2,85,12,115,0,Diagnostic Center,High,Poor,0,3,0
89,MRI Scanner,Siemens,5,62,0,417,7,Ward,Medium,Good,0,4,1
90,Ventilator,Siemens,5,75,4,65,13,ICU,Medium,Good,0,4,0
91,X-Ray,Philips,5,59,2,244,0,ICU,Medium,Good,1,2,0
92,MRI Scanner,GE Healthcare,5,59,4,99,0,Lab,Medium,Poor,0,4,0
93,Ultrasound,Fujifilm,6,62,4,126,6,Ward,High,Good,0,4,0
94,Ventilator,Canon Medical,4,55,2,232,23,Diagnostic Center,Medium,Poor,0,3,1
95,ECG,Mindray,4,17,4,105,6,Operating Room,Low,Poor,0,1,1
96,Infusion Pump,Siemens,8,40,6,104,0,Ward,Medium,Moderate,0,5,0
97,X-Ray,Mindray,5,66,2,252,0,Operating Room,Low,Moderate,0,2,0
98,X-Ray,Canon Medical,4,53,2,164,0,Ward,High,Moderate,0,3,1
99,Infusion Pump,Philips,3,56,2,244,0,Diagnostic Center,Low,Moderate,0,3,0
100,Ventilator,Fujifilm,6,51,6,148,1,Ward,Medium,Moderate,0,4,0
101,Patient Monitor,Canon Medical,9,38,6,61,1,ICU,Low,Moderate,1,3,0
102,Ultrasound,Medtronic,6,47,6,138,2,Operating Room,High,Good,1,2,0
103,X-Ray,GE Healthcare,4,52,1,438,0,Operating Room,Medium,Moderate,0,3,0
