device_id,device_name,manufacturer,device_age_years,usage_hours_per_week,maintenance_frequency_per_year,last_maintenance_gap_days,error_logs_past_month,environment,criticality_level,spare_parts_availability,failures_past_year,manufacturer_support_rating,failure_within_year
1,Ventilator,Fujifilm,7,27,4,117,7,Ward,Medium,Poor,0,2,0
2,CT Scanner,Siemens,6,86,4,107,13,ICU,Low,Moderate,0,5,0
3,Ultrasound,GE Healthcare,8,84,2,202,17,ICU,Low,Good,0,5,1
4,CT Scanner,Mindray,5,66,6,72,12,Diagnostic Center,Medium,Moderate,0,1,0
5,CT Scanner,GE Healthcare,6,75,6,74,16,ICU,Medium,Poor,0,3,0
6,CT Scanner,Philips,11,46,12,69,11,Operating Room,High,Poor,0,4,0
7,Infusion Pump,Medtronic,5,94,4,105,7,Diagnostic Center,High,Good,0,3,0
8,ECG,Siemens,12,50,2,212,12,ICU,High,Poor,0,3,1
9,Patient Monitor,Siemens,8,37,2,207,7,Ward,Low,Poor,0,5,0
10,Ventilator,Philips,4,45,2,174,15,ICU,Medium,Poor,0,4,1
11,Patient Monitor,Canon Medical,4,80,2,188,15,Diagnostic Center,High,Moderate,0,3,1
12,Ventilator,Fujifilm,2,98,2,202,11,ICU,High,Good,0,3,1
13,Ventilator,Canon Medical,3,64,6,88,5,Diagnostic Center,High,Moderate,1,4,0
14,Infusion Pump,Medtronic,4,38,2,218,9,Ward,High,Poor,1,3,1
15,X-Ray,Medtronic,5,81,4,82,10,Ward,High,Good,0,3,0
16,CT Scanner,Philips,6,35,6,88,7,ICU,High,Moderate,0,2,0
17,X-Ray,Philips,5,62,4,105,4,Lab,Medium,Moderate,0,4,0
18,Patient Monitor,GE Healthcare,5,69,4,107,11,ICU,High,Poor,0,4,1
19,MRI Scanner,Siemens,6,64,2,197,13,Operating Room,High,Moderate,0,4,1
20,Ultrasound,Canon Medical,5,71,6,59,4,ICU,High,Good,1,3,0
21,Infusion Pump,Canon Medical,6,80,4,91,13,Lab,Medium,Moderate,0,2,1
22,Ventilator,Philips,5,78,2,198,15,Ward,Medium,Moderate,0,3,1
23,CT Scanner,GE Healthcare,4,75,4,103,9,ICU,High,Poor,0,3,0
24,X-Ray,Siemens,7,11,12,25,5,Ward,High,Moderate,0,5,0
25,X-Ray,Philips,7,51,2,209,9,Ward,High,Good,0,3,1
26,Infusion Pump,Philips,7,52,4,93,15,Ward,High,Good,0,4,1
27,Infusion Pump,Philips,10,66,4,92,5,ICU,High,Moderate,0,4,0
28,CT Scanner,Siemens,5,64,4,83,9,Ward,High,Poor,0,4,0
29,Patient Monitor,Medtronic,11,37,6,92,9,ICU,Medium,Poor,0,2,1
30,CT Scanner,Canon Medical,4,61,6,91,6,Operating Room,Low,Poor,0,4,0
31,Patient Monitor,Philips,8,32,6,93,6,Diagnostic Center,High,Good,1,4,1
32,Infusion Pump,Medtronic,9,69,12,43,6,Operating Room,Low,Moderate,0,3,0
33,MRI Scanner,GE Healthcare,10,110,2,198,18,Ward,High,Poor,0,3,1
34,MRI Scanner,Fujifilm,5,42,4,97,7,Ward,Medium,Poor,0,2,0
35,Ultrasound,Philips,7,36,4,114,7,ICU,Medium,Good,1,2,0
36,Infusion Pump,Siemens,12,53,1,374,22,Ward,Medium,Poor,0,5,1
37,CT Scanner,Canon Medical,5,85,4,119,8,Ward,Medium,Good,0,3,0
38,Infusion Pump,Canon Medical,6,95,0,399,23,Diagnostic Center,Medium,Good,0,4,1
39,Infusion Pump,Canon Medical,4,53,6,65,8,ICU,Medium,Moderate,0,2,0
40,Patient Monitor,Mindray,5,66,12,23,3,ICU,High,Moderate,0,3,0
41,Patient Monitor,Mindray,3,47,6,76,5,Ward,High,Good,0,3,0
42,Ventilator,Mindray,8,78,4,87,5,Ward,High,Poor,0,2,0
43,Ultrasound,GE Healthcare,9,44,4,102,12,Ward,Medium,Poor,0,4,1
44,CT Scanner,Mindray,6,38,6,61,2,Diagnostic Center,High,Good,0,1,0
45,Ultrasound,Philips,4,29,4,120,8,Lab,Medium,Moderate,0,3,0
46,Ultrasound,Philips,1,31,2,189,6,Diagnostic Center,Medium,Poor,0,4,0
47,Patient Monitor,Medtronic,4,55,4,88,7,Ward,Medium,Poor,0,2,0
48,ECG,Fujifilm,5,52,4,83,11,Operating Room,Low,Good,0,4,0
49,Ultrasound,Canon Medical,7,51,4,114,6,ICU,High,Poor,0,3,1
50,ECG,Mindray,3,62,2,205,10,Ward,Medium,Poor,0,1,0
51,CT Scanner,Canon Medical,5,65,4,116,10,Diagnostic Center,Medium,Moderate,0,2,1
52,X-Ray,Mindray,9,45,4,130,15,Diagnostic Center,High,Good,0,3,1
53,ECG,Philips,6,31,4,118,9,ICU,Medium,Moderate,0,3,0
54,Infusion Pump,GE Healthcare,7,69,4,120,10,ICU,Medium,Good,0,3,1
55,ECG,Siemens,2,83,6,68,2,Operating Room,Medium,Poor,0,3,0
56,X-Ray,Siemens,6,80,6,65,4,Operating Room,Low,Moderate,0,4,0
57,Ultrasound,Philips,3,49,1,393,13,Diagnostic Center,Low,Good,1,3,1
58,CT Scanner,Mindray,6,40,4,98,11,Ward,Medium,Poor,0,1,1
59,Ultrasound,Mindray,4,83,6,78,8,ICU,Medium,Moderate,0,2,0
60,Infusion Pump,Mindray,6,76,0,382,23,ICU,Medium,Moderate,0,2,1
61,Ultrasound,Mindray,4,91,6,95,9,ICU,High,Good,0,2,0
62,Ventilator,Mindray,7,60,4,97,8,ICU,Medium,Poor,0,3,0
63,Ultrasound,Medtronic,7,75,12,33,8,ICU,High,Moderate,0,3,0
64,Infusion Pump,Mindray,6,51,6,63,8,Ward,High,Moderate,0,1,0
65,Ventilator,Siemens,5,61,12,25,6,Operating Room,Medium,Poor,1,5,0
66,ECG,GE Healthcare,6,59,6,51,6,Ward,High,Poor,0,4,0
67,X-Ray,GE Healthcare,5,64,6,66,10,Lab,Medium,Moderate,0,3,0
68,X-Ray,Canon Medical,3,79,6,63,7,ICU,High,Moderate,0,2,0
69,Ventilator,Medtronic,4,44,6,77,4,ICU,Medium,Poor,0,2,0
70,Ventilator,Medtronic,8,67,4,84,6,Ward,Medium,Good,0,3,0
71,Infusion Pump,GE Healthcare,6,76,4,98,7,Diagnostic Center,Low,Poor,0,4,0
72,Ventilator,Mindray,4,30,6,53,4,Ward,Low,Poor,0,2,0
73,X-Ray,Mindray,2,55,2,179,8,Ward,Low,Poor,0,2,1
74,Ventilator,Fujifilm,5,48,4,116,10,Operating Room,Medium,Moderate,0,2,1
75,MRI Scanner,GE Healthcare,8,80,4,89,9,ICU,Medium,Good,0,3,0
76,Ventilator,Fujifilm,5,68,6,57,7,Diagnostic Center,Low,Moderate,0,3,0
77,Ultrasound,Siemens,4,54,12,53,4,ICU,Medium,Moderate,1,5,0
78,Ultrasound,Siemens,4,46,4,98,9,ICU,Medium,Good,0,4,0
79,Ultrasound,GE Healthcare,12,37,2,175,14,Operating Room,High,Poor,0,5,1
80,Infusion Pump,GE Healthcare,9,36,12,28,8,Diagnostic Center,Medium,Moderate,0,5,0
81,X-Ray,Philips,11,50,6,99,8,Diagnostic Center,High,Poor,0,2,1
82,Ventilator,Mindray,6,78,4,119,9,ICU,Medium,Good,1,1,0
83,MRI Scanner,Medtronic,3,64,12,23,8,Ward,Medium,Good,0,2,0
84,X-Ray,Canon Medical,9,84,4,114,14,Lab,Medium,Good,0,2,1
85,Ventilator,GE Healthcare,4,59,1,394,17,Operating Room,Medium,Good,0,4,1
86,ECG,Medtronic,6,33,2,192,8,ICU,High,Moderate,0,3,1
87,Infusion Pump,Siemens,4,77,2,198,10,ICU,High,Moderate,0,4,1
88,MRI Scanner,Medtronic,5,70,1,404,19,Operating Room,High,Moderate,0,4,1
89,ECG,Medtronic,7,57,6,98,11,Lab,Medium,Poor,0,2,1
90,Ventilator,Canon Medical,3,42,2,182,13,Diagnostic Center,Low,Moderate,0,2,1
91,Ventilator,Mindray,4,46,6,59,8,Ward,Low,Moderate,0,2,0
92,MRI Scanner,Fujifilm,6,45,6,56,9,Ward,High,Poor,0,2,1
93,Infusion Pump,Mindray,7,49,2,205,17,Diagnostic Center,Medium,Moderate,1,3,1
94,ECG,Mindray,4,69,4,99,11,Operating Room,Medium,Moderate,0,1,1
95,ECG,Canon Medical,7,76,6,62,11,Operating Room,Medium,Poor,0,3,0
96,CT Scanner,Canon Medical,7,51,4,95,6,Operating Room,High,Moderate,0,4,0
97,Ultrasound,GE Healthcare,4,89,6,64,4,Ward,High,Good,0,5,0
98,Infusion Pump,Mindray,10,48,4,127,16,ICU,High,Poor,0,3,1
99,ECG,Mindray,5,77,12,46,9,Ward,Medium,Good,0,3,0
100,Infusion Pump,Medtronic,6,43,6,67,8,Operating Room,Low,Moderate,0,4,0
101,X-Ray,Philips,6,63,6,70,10,Diagnostic Center,Medium,Moderate,0,4,0
102,Ventilator,Philips,6,55,2,205,17,Lab,Medium,Moderate,0,4,1
103,ECG,Siemens,9,86,12,25,7,Diagnostic Center,Medium,Good,0,5,0
104,CT Scanner,Siemens,1,67,12,46,7,ICU,High,Good,0,5,0
105,MRI Scanner,GE Healthcare,6,63,4,126,10,ICU,Low,Moderate,0,5,0
106,Ventilator,Medtronic,5,34,2,221,6,Ward,High,Moderate,0,4,1
107,MRI Scanner,Canon Medical,9,42,6,90,12,Ward,High,Moderate,0,2,1
108,Infusion Pump,Mindray,3,21,6,71,4,Diagnostic Center,High,Moderate,0,1,0
109,Ultrasound,Siemens,8,59,4,83,16,Lab,Medium,Moderate,0,5,0
110,X-Ray,Canon Medical,7,38,4,100,6,ICU,Medium,Moderate,0,4,0
111,Patient Monitor,Mindray,10,70,4,86,11,Diagnostic Center,Medium,Moderate,0,1,1
112,Infusion Pump,GE Healthcare,5,60,4,91,1,Ward,Low,Good,1,5,0
113,CT Scanner,GE Healthcare,6,41,6,63,5,Ward,High,Moderate,0,4,0
114,X-Ray,Mindray,2,88,6,95,4,Operating Room,High,Moderate,0,1,0
115,Infusion Pump,Fujifilm,8,77,12,53,9,Ward,Medium,Moderate,0,3,0
116,Patient Monitor,Fujifilm,4,57,4,94,6,Diagnostic Center,High,Good,1,3,0
117,Infusion Pump,Mindray,9,34,1,377,18,Ward,High,Poor,0,2,1
118,Infusion Pump,Philips,9,35,4,107,7,Ward,Low,Poor,0,4,0
119,Ventilator,Mindray,10,46,4,81,14,ICU,Medium,Moderate,0,3,1
120,Ultrasound,Philips,12,89,2,183,13,Diagnostic Center,Medium,Moderate,0,4,1
121,ECG,GE Healthcare,4,70,6,88,6,Diagnostic Center,Medium,Good,0,5,0
122,Infusion Pump,GE Healthcare,9,65,4,119,12,ICU,Medium,Good,0,5,0
123,Infusion Pump,Mindray,6,73,12,20,0,ICU,Medium,Moderate,0,3,0
124,CT Scanner,Fujifilm,3,77,4,122,11,Diagnostic Center,High,Poor,0,3,1
125,CT Scanner,Mindray,5,41,4,109,2,Lab,Medium,Poor,0,1,0
126,X-Ray,Canon Medical,6,63,6,65,9,Diagnostic Center,Medium,Moderate,1,3,0
127,CT Scanner,Siemens,8,55,2,211,13,Diagnostic Center,High,Moderate,0,5,1
128,Infusion Pump,GE Healthcare,6,82,12,48,8,Ward,Medium,Poor,0,4,0
129,Infusion Pump,Mindray,5,47,2,220,13,Operating Room,High,Poor,0,3,1
130,Patient Monitor,GE Healthcare,10,82,6,80,12,Diagnostic Center,Low,Good,0,4,0
131,Ultrasound,Mindray,7,65,2,185,9,Operating Room,High,Moderate,0,2,1
132,ECG,GE Healthcare,9,59,6,56,5,Lab,Medium,Poor,0,5,0
133,Patient Monitor,Fujifilm,8,53,2,184,12,Lab,High,Moderate,0,2,1
134,Infusion Pump,Philips,2,67,0,372,17,ICU,High,Poor,1,3,1
135,ECG,GE Healthcare,6,18,4,107,4,ICU,Medium,Poor,0,3,0
136,Infusion Pump,Mindray,7,18,2,194,10,Diagnostic Center,High,Moderate,0,2,1
137,Infusion Pump,Canon Medical,4,50,6,83,13,Lab,Medium,Moderate,0,3,0
138,Ultrasound,Medtronic,5,96,4,86,17,Operating Room,High,Poor,0,3,1
139,MRI Scanner,Siemens,6,72,4,87,1,Ward,High,Moderate,0,3,0
140,Infusion Pump,Siemens,4,65,1,366,10,Lab,High,Poor,0,4,1
141,Infusion Pump,Canon Medical,4,43,4,125,11,Lab,High,Poor,0,3,0
142,Infusion Pump,Mindray,7,77,4,116,10,ICU,Low,Poor,1,2,1
143,Infusion Pump,Mindray,5,58,4,98,12,Ward,Medium,Good,1,2,1
144,Infusion Pump,Siemens,4,17,12,56,3,ICU,Medium,Good,1,4,0
145,Ventilator,Medtronic,7,46,6,73,8,ICU,High,Good,0,2,0
146,X-Ray,Philips,8,56,6,59,11,Ward,Medium,Good,0,4,0
147,Infusion Pump,Fujifilm,6,32,12,27,6,ICU,High,Moderate,0,3,0
148,Patient Monitor,Siemens,8,79,2,197,13,Diagnostic Center,High,Moderate,0,4,1
149,X-Ray,Medtronic,8,60,1,355,15,ICU,Low,Moderate,0,2,1
150,Ventilator,Mindray,7,44,2,214,15,ICU,High,Poor,0,3,1
151,Ventilator,Fujifilm,7,54,2,202,13,ICU,High,Moderate,0,4,1
152,MRI Scanner,Siemens,7,103,6,91,12,Diagnostic Center,High,Moderate,1,3,1
153,Ultrasound,Canon Medical,4,41,1,372,14,Ward,Medium,Moderate,0,4,1
154,ECG,Philips,5,66,2,193,10,Operating Room,Medium,Poor,0,3,1
155,Infusion Pump,GE Healthcare,9,45,12,60,8,Lab,High,Moderate,0,4,0
156,Ventilator,Medtronic,11,64,6,60,9,Ward,High,Poor,0,2,1
157,Patient Monitor,Philips,3,46,4,101,2,Diagnostic Center,Medium,Poor,0,2,0
158,Patient Monitor,Siemens,5,21,6,97,7,Ward,High,Moderate,0,5,0
159,X-Ray,Canon Medical,3,45,2,205,8,Ward,Medium,Good,0,3,0
160,X-Ray,Mindray,9,67,1,379,21,ICU,High,Moderate,0,3,1
161,Patient Monitor,Mindray,9,50,4,95,14,Ward,High,Good,1,1,1
162,X-Ray,Canon Medical,7,80,6,76,9,ICU,Low,Moderate,0,3,0
163,Infusion Pump,Siemens,5,52,4,93,9,Lab,Low,Moderate,0,3,0
164,X-Ray,GE Healthcare,7,47,4,84,5,ICU,Medium,Moderate,0,5,0
165,MRI Scanner,Philips,9,51,4,88,9,ICU,Low,Good,0,2,0
166,ECG,Canon Medical,13,49,4,97,15,Diagnostic Center,Medium,Moderate,0,3,1
167,Ventilator,Fujifilm,8,41,2,174,12,ICU,Medium,Poor,0,2,1
168,X-Ray,Siemens,11,62,1,378,21,Ward,Low,Poor,0,3,1
169,Ultrasound,Philips,9,31,0,376,15,Operating Room,Low,Poor,0,2,1
170,Ultrasound,Mindray,7,42,4,94,4,Lab,Medium,Moderate,0,2,0
171,CT Scanner,Siemens,5,58,6,59,9,Ward,Low,Poor,0,3,0
172,MRI Scanner,Mindray,8,78,4,126,11,Ward,High,Moderate,0,1,1
